"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6316","Protien check","chromium","Sun May 17 07:27:30 UTC 2026","passed","Sun May 17 07:27:36 UTC 2026","Homepage","Authencity.spec.ts","",""
"","4311","Authenticity Page Functionality","chromium","Sun May 17 07:27:26 UTC 2026","passed","Sun May 17 07:27:30 UTC 2026","Homepage","Authencity.spec.ts","",""
"","4990","Redirection of Page","chromium","Sun May 17 07:27:21 UTC 2026","passed","Sun May 17 07:27:26 UTC 2026","Homepage","Authencity.spec.ts","",""
"","3463","should navigate to the homepage and click the label","chromium","Sun May 17 07:27:36 UTC 2026","passed","Sun May 17 07:27:40 UTC 2026","Homepage","HomePage.spec.ts","",""
