"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Interact with button inside Shadow DOM","chromium","Tue Apr 07 16:44:25 UTC 2026","failed","Tue Apr 07 16:44:25 UTC 2026","","shadow-dom.spec.ts","",""
"","2","shadow DOM interaction demo","chromium","Tue Apr 07 16:44:23 UTC 2026","skipped","Tue Apr 07 16:44:23 UTC 2026","","shadow-dom.spec.ts","",""
