"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","get started link","chromium","Sun Apr 05 17:14:07 UTC 2026","passed","Sun Apr 05 17:14:08 UTC 2026","","example.spec.ts","",""
"","532","has title","chromium","Sun Apr 05 17:14:05 UTC 2026","passed","Sun Apr 05 17:14:05 UTC 2026","","example.spec.ts","",""
"","1755","Hybrid Flow: Valid Login","chromium","Sun Apr 05 17:14:08 UTC 2026","passed","Sun Apr 05 17:14:09 UTC 2026","","Hybrid-test.spec.ts","",""
