"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Hybrid Flow: Invalid Login","chromium","Sun Apr 05 17:10:23 UTC 2026","failed","Sun Apr 05 17:10:23 UTC 2026","","Hybrid-test.spec.ts","",""
"","3","Advanced API Chaining: Injecting Token to UI","chromium","Sun Apr 05 17:10:25 UTC 2026","failed","Sun Apr 05 17:10:25 UTC 2026","","Hybrid-test.spec.ts","",""
